size,bedrooms,age,location_score,income_index,price
1560,3,13,6.69,0.82,401852.0
1994,4,8,5.92,0.75,459391.0
1830,4,14,8.63,0.95,454622.0
1795,4,20,8.08,0.98,490851.0
2338,6,34,5.69,0.75,476023.0
2869,6,1,6.94,0.82,648170.0
1166,3,26,9.33,1.16,354919.0
1938,4,1,7.5,0.96,477231.0
1030,3,34,7.23,0.89,332542.0
2182,5,17,7.33,0.93,511474.0
2835,6,13,6.34,0.75,630086.0
830,2,19,6.97,0.87,279095.0
2385,5,17,6.98,0.91,502702.0
1469,4,9,5.71,0.73,397281.0
2215,6,24,8.57,1.04,540562.0
1915,4,1,7.17,0.91,503134.0
1655,5,24,8.79,1.13,470924.0
1884,4,32,8.9,1.01,443598.0
1159,3,35,6.35,0.86,306346.0
721,2,30,8.13,1.0,320204.0
1447,3,13,7.39,0.95,409460.0
1174,3,0,9.02,1.18,420570.0
1782,4,15,6.36,0.73,447467.0
2747,6,2,8.21,0.99,655073.0
1675,4,34,7.93,0.98,427431.0
2506,6,5,6.68,0.8,553747.0
889,3,24,6.05,0.85,280537.0
1262,4,12,8.11,0.97,421869.0
2599,6,33,8.45,1.03,573239.0
1967,5,7,6.76,0.86,518050.0
2228,6,20,8.08,0.95,545026.0
1346,3,33,7.08,0.87,328125.0
2768,6,3,8.35,1.06,678273.0
2914,6,24,6.3,0.78,590624.0
1997,4,14,9.06,1.12,540850.0
1300,3,3,6.65,0.81,367865.0
2761,6,11,6.97,0.8,606303.0
941,3,31,5.73,0.74,271251.0
2741,6,31,5.95,0.84,564158.0
2063,5,27,7.56,0.95,451989.0
2839,6,12,6.57,0.84,589295.0
2090,5,30,8.84,1.14,542308.0
2178,6,13,5.56,0.64,486857.0
1475,3,19,7.02,0.97,378385.0
734,1,17,6.85,0.87,228889.0
2953,6,28,5.58,0.79,561765.0
2655,6,5,6.0,0.72,539764.0
2285,6,31,7.15,0.99,521574.0
1721,5,28,7.47,0.98,430431.0
1829,4,1,7.12,0.92,457388.0
2200,5,22,7.62,0.97,519298.0
1402,4,18,7.88,0.97,414899.0
2279,5,30,5.54,0.76,513644.0
861,2,4,7.36,0.93,287282.0
901,2,18,9.35,1.06,367628.0
2681,6,33,7.58,0.89,598242.0
1695,4,9,8.21,1.02,454998.0
1515,4,24,6.75,0.87,393165.0
1155,3,1,8.6,1.07,395347.0
1975,4,10,8.59,1.13,524334.0
1716,4,30,7.59,0.85,452543.0
1037,2,14,9.4,1.18,388492.0
1578,4,8,6.0,0.67,408592.0
1776,4,22,5.57,0.75,392794.0
1491,4,18,8.58,1.06,407499.0
2964,6,8,8.73,1.11,683431.0
1463,4,34,5.98,0.71,369092.0
2935,6,20,6.56,0.89,584937.0
